Vp,	T,	n,	j
2344.34991104189,	8433.801769257172,	4.6093999262488657e+27,	-1772370190472.4128
2344.34991104189,	18939.792686366178,	4.6093999262488657e+27,	-6835237122260.072
2344.34991104189,	14184.542809594395,	4.6093999262488657e+27,	-4344565359241.724
2344.34991104189,	11780.219172360095,	4.6093999262488657e+27,	-3198558958571.6055
2344.34991104189,	18523.223024041155,	4.6093999262488657e+27,	-6606382343774.442
2344.34991104189,	9395.80989562752,	4.6093999262488657e+27,	-2156678882775.403
2344.34991104189,	17367.14772634095,	4.6093999262488657e+27,	-5981414705774.017
2344.34991104189,	19194.16342067072,	4.6093999262488657e+27,	-6975822099366.371
2344.34991104189,	14466.50960440767,	4.6093999262488657e+27,	-4484274256722.634
2344.34991104189,	7642.833078319179,	4.6093999262488657e+27,	-1476161469606.5947
2344.34991104189,	18743.279916381187,	4.6093999262488657e+27,	-6727095059968.47
2344.34991104189,	20983.535868186373,	4.6093999262488657e+27,	-7987916872409.573
2344.34991104189,	2709.5471858316414,	4.6093999262488657e+27,	-207033606734.06018
2344.34991104189,	9017.42396520216,	4.6093999262488657e+27,	-2002665568975.2136
2344.34991104189,	7762.7346763822525,	4.6093999262488657e+27,	-1519792401714.2039
2344.34991104189,	10248.812032301936,	4.6093999262488657e+27,	-2516423143236.199
2344.34991104189,	3419.2312857558163,	4.6093999262488657e+27,	-319863948842.7551
2344.34991104189,	2085.840121441631,	4.6093999262488657e+27,	-128380431463.0461
2344.34991104189,	13899.560340051772,	4.6093999262488657e+27,	-4204361927523.5176
2344.34991104189,	8840.467732030314,	4.6093999262488657e+27,	-1931861857561.9104
2344.34991104189,	16711.19424516449,	4.6093999262488657e+27,	-5633775513029.24
2344.34991104189,	21191.103505761588,	4.6093999262488657e+27,	-8107511607085.332
2344.34991104189,	12604.145676171916,	4.6093999262488657e+27,	-3581433727816.609
2344.34991104189,	28180.10449595134,	4.6093999262488657e+27,	-12449959640091.324
2344.34991104189,	25116.42692671787,	4.6093999262488657e+27,	-10470157237779.975
2344.34991104189,	20670.990310296,	4.6093999262488657e+27,	-7808385526684.538
